分类,问题,标准答案
退换货,什么情况下不能退换？,以下情况不支持退换：商品已使用/损坏，影响二次销售；包装、配件、赠品、发票缺失；超过 7 天无理由 / 15 天质量问题期限；私自拆机、刷机、进液、摔碰造成的人为损坏；定制类、贴身用品、密封拆封类商品。
退换货,已激活的手机/电脑能退吗？,手机、平板、笔电等电子产品激活后，不支持七天无理由退货。但若激活后出现性能故障（非人为），7 天内可退、15 天内可换，需经官方售后检测并出具检测报告。
退换货,退换货流程是什么？,"1）在""我的订单""中找到对应订单，点击""申请退换货""；2）选择退换类型（退货/换货），填写原因并上传照片；3）客服 24 小时内审核通过后，会发送退货地址；4）将商品（含包装、配件、发票）寄回；5）仓库收到并检验无误后，3-5 个工作日内退款/换货发出。"
退换货,收到商品有瑕疵/破损怎么办？,请您在签收后 48 小时内拍摄包装全貌、快递面单、商品瑕疵照片发给在线客服。核实后我们将为您：①免费补发/换货；②承担来回运费；③视情况给予优惠券补偿。超时未反馈的，可能影响理赔，请务必及时联系。
退换货,收到的商品发错了怎么办？,发错货属于我方责任，请您拍照留存，我们将：第一时间安排补发正确商品；错发商品免费上门取件退回；补偿 20-50 元优惠券作为歉意。全程无需您承担任何费用。
投诉处理,收到的商品是坏的/有质量问题，我要投诉,非常抱歉给您带来了不好的体验，您的心情我们完全理解。麻烦您先拍摄：1）外包装全貌和快递面单；2）商品故障部位的清晰照片/视频；3）配件、发票、赠品是否齐全。核实后我们将在 24 小时内为您安排：①7 天内质量问题直接退货退款，运费我方承担；②15 天内可免费换新；③视情况赠送优惠券作为补偿。如果您需要立即处理，我现在为您转接人工专员，请稍等。
投诉处理,物流太慢了，严重超时还没收到,实在抱歉让您久等了，物流延误确实影响心情。请您提供订单号，我立刻为您：1）查询物流最新轨迹，确认滞留节点；2）联系快递方加急催促，优先派送；3）若超过承诺时效 48 小时以上，我们将为您申请 10-30 元无门槛优惠券补偿；4）如确实丢件，直接为您免费补发或全额退款。需要我现在帮您转接人工客服跟进吗？
投诉处理,你们客服响应太慢了，等了半天没人理,非常抱歉让您等待，这是我们的服务问题。大促或咨询高峰期可能出现排队，我们已经在加急扩容。为了不耽误您，现在直接为您转接资深专员，您的问题由专员一对一跟进到底。请问您方便接听电话吗？我也可以让专员 30 分钟内回电您预留的手机号。
投诉处理,刚买完就降价了，为什么不给我退差价？,抱歉让您有了落差感。我们支持 7 天价保：自签收之日起 7 天内，同款商品降价（不含大促秒杀、限时抢）可申请退差价。请您提供订单号和现在的价格截图，我帮您核实：1）若符合价保规则，差价将以优惠券形式在 1-3 个工作日内返还；2）若超出 7 天价保期或属于秒杀类活动，确实无法退差，但我可以为您申请一张补偿券。需要我现在为您转接人工核实吗？
投诉处理,我要退货你们居然拒绝，什么意思？,抱歉让您着急了。退换货被拒通常有以下几种情况：1）商品已激活或已使用影响二次销售；2）超过 7 天无理由期限；3）包装、配件、发票缺失；4）人为损坏。麻烦您告知订单号，我帮您查看具体拒绝原因：若属于误拒，我立刻为您重新提交并加急审核；若确实不符合规则，我会详细向您解释政策，并帮您看看有没有其他解决方案（如折价回收、保修等）。需要转接主管处理吗？
投诉处理,收到的东西少了一件/型号不对,非常抱歉，这是我们的发货失误。请您拍摄：1）快递外包装全貌；2）开箱后的所有物品平铺照；3）订单商品清单截图。核实后我们将：①24 小时内为您补发遗漏商品或调换正确型号；②补发运费我方承担；③补偿 20-50 元优惠券。我现在为您转接人工专员，您把照片发给专员即可立即处理。
投诉处理,产品用了几天就坏了，我要求赔偿损失,很抱歉产品故障给您造成了困扰。请您先描述具体故障现象（如开不了机、发热、蓝屏等），我先帮您远程排查：1）若是软件问题，指导您恢复出厂或升级系统；2）若是硬件故障，7 天内可退、15 天内可换、保修期内免费维修；3）如因产品故障造成了您的其他损失，请保留相关凭证，我们会根据实际情况承担相应责任。我现在为您转接人工售后专员，由专员跟进到底。
投诉处理,我对之前的处理结果不满意，要找你们领导,抱歉之前的处理没有达到您的期望。我完全理解您的不满。现在为您升级处理：1）转接客服主管，由主管重新核查您的工单；2）24 小时内给您一个明确的答复和解决方案；3）如仍不满意，可继续升级至客户体验部门。请您稍等，我马上为您转接，或者留下您的手机号，主管会在今天 18:00 前回电您。
保修售后,产品保修期是多久？,整机保修政策：手机 / 平板 / 笔电——主机 1 年，电池 6 个月；耳机 / 音箱 / 穿戴——主机 1 年；充电器 / 数据线 / 配件——12 个月；显示器 / 键鼠——2 年。保修期自签收之日起计算，以订单/发票日期为准。
保修售后,保修需要发票吗？,需要。保修时请提供电子发票或纸质发票；如未开发票，可在订单页自助申请补开。没有发票的情况下，将按设备出厂日期延后 90 天计算保修期，可能会影响保修权益，建议及时开票。
保修售后,人为损坏能保修吗？,人为损坏（摔落、进液、挤压、私自拆机、使用非原装配件导致的损坏等）不在免费保修范围内。我们提供付费维修服务，维修前会先报价，您确认后再开始维修，不会产生未知费用。
保修售后,保修流程怎么走？,1）在线客服或 400 热线报修，描述故障现象；2）客服初步判断后，指导您：①寄修（顺丰到付）；②送修（就近服务中心）；3）工程师检测后，免费维修或给出报价；4）维修完成后寄回，全程一般 5-7 个工作日。
保修售后,维修大概要多久？,简单故障（软件、小配件）：3-5 个工作日；主板、屏幕等大件维修：7-10 个工作日；需调货的特殊备件：10-15 个工作日。维修进度可随时在订单页或客服处查询。
保修售后,电池保修多久？,手机/平板电池保修 6 个月。保修期内若电池健康度低于 80%（经官方检测），可免费更换。6 个月后如需换电池，可享受官方特惠电池更换服务，具体价格请咨询客服。
保修售后,保修期外维修怎么收费？,保修期外维修费用 = 备件费 + 人工费。寄修检测免费；确认报价后如需维修，人工费一般为 80-150 元，备件按官方价目表收取。维修更换的备件享有 90 天质保。
保修售后,延保服务怎么买？,在下单时或签收后 7 天内可购买延保服务：延保 1 年——主机价的 8%；延保 2 年——主机价的 15%。延保生效后，整机保修期相应延长，享受与原厂一致的保修权益。
以旧换新,以旧换新怎么操作？,"1）在商品详情页点击""以旧换新""；2）选择旧机品牌、型号、成色、功能状态，系统自动估价；3）提交订单，新机发出后，快递员上门同时取走旧机；4）旧机检测完成后，多退少补，补贴款直接抵扣新机或打款。"
以旧换新,旧机估价和最终价不一致怎么办？,线上估价为参考价，最终价格以旧机实际检测结果为准。若检测价低于估价：您可选择接受（差价补给您）或放弃回收（旧机免费寄回）；若检测价高于估价：差价直接打款至您的账户。
以旧换新,以旧换新有额外补贴吗？,有。活动期间（如新品发布、大促）以旧换新可享额外补贴：旧机估价满 1000 元补贴 100 元；满 2000 元补贴 200 元；满 3000 元补贴 400 元。具体补贴金额以下单页显示为准。
以旧换新,旧机数据怎么清除？,我们承诺：回收前请您自行恢复出厂设置并退出账号；回收后将使用专业工具进行不可恢复的数据擦除；出具《数据清除证明》供您留存。数据安全有保障，可放心参与以旧换新。
以旧换新,哪些品牌/型号可以参与以旧换新？,支持主流品牌手机、平板、笔记本回收：手机支持 Apple、华为、小米、OPPO、vivo、荣耀、三星、一加、realme、iQOO 等近 3 年上市机型；平板支持 iPad、华为 MatePad、小米平板等；笔记本支持主流轻薄本和游戏本。耳机、手表等穿戴设备暂不参与。具体型号是否支持，可在以旧换新页面输入品牌型号查询。
以旧换新,旧机估价标准是什么？,估价综合四个维度：1）成色：全新未拆封 / 几乎无划痕 / 轻微使用痕迹 / 明显磨损；2）功能：全部正常 / 轻微异常（如屏幕漏光、电池老化）/ 主要功能故障；3）维修史：官方维修 / 第三方维修 / 未维修 / 进水摔落；4）配件包装：原装盒+配件齐全 / 缺配件 / 无包装。成色越好、功能越全、无维修史，估价越高。
以旧换新,以旧换新的钱什么时候到账？,分两步：1）线上估价的补贴款在您下单时直接抵扣新机货款；2）旧机寄回并经检测后，3-5 个工作日内出具最终检测价，若检测价高于线上估价，差价将打款至您原支付账户；若低于估价，您可选择接受或放弃回收（旧机免费寄回）。
以旧换新,可以同时用优惠券和以旧换新吗？,可以。以旧换新补贴与店铺优惠券、平台满减可以叠加使用，但与其他补贴活动（如国家补贴、新品首发价）互斥，以下单页最终结算金额为准。建议您下单前在结算页确认各项优惠是否已生效。
支付发票,支持哪些支付方式？,支持：微信支付、支付宝、银联云闪付、花呗分期、信用卡分期（3/6/12 期）、企业对公转账（大额订单）。暂不支持 PayPal、数字货币等其他方式。
支付发票,可以开发票吗？,支持电子普通发票和增值税专用发票。电子普票：下单时填写抬头，订单完成后自动发送至邮箱；增值税专票：需提供开票信息（名称、税号、地址电话、开户行账号），一般 3-5 个工作日开出。补开发票期限为签收后 180 天内。
支付发票,支持分期付款吗？,支持。订单金额满 600 元可享分期：花呗分期 3/6/12 期；信用卡分期支持主流银行 3/6/12/24 期；部分期数享免息活动，以下单页显示为准。
支付发票,有价格保护吗？降价了能退差价吗？,支持 7 天价保。自签收之日起 7 天内，若同款商品降价（不含大促秒杀、限时抢），可申请差价退还，差价以优惠券形式返还。申请价保请联系在线客服，提供订单号即可，1-3 个工作日处理完成。
支付发票,花呗分期利息怎么算？,花呗分期费率（以页面实时显示为准）：3 期约 2.5%、6 期约 4.5%、12 期约 7.5%，总手续费 = 订单金额 × 对应费率，每期还款 =（订单金额 + 总手续费）÷ 期数。活动期间部分期数享免息，免息期数不收手续费。具体费率以下单页花呗分期显示为准。
支付发票,分期后可以提前还款吗？,"可以。花呗分期和信用卡分期均支持提前还款：1）花呗：在花呗页面选择""提前结清""，剩余手续费一次性收取或减免，具体以花呗规则为准；2）信用卡：联系发卡行客服或在手机银行操作，部分银行提前还款需支付剩余手续费或违约金，建议先咨询发卡行。"
支付发票,发票抬头开错了能重开吗？,可以。电子普通发票在开具后 30 天内可申请重开，提供正确的抬头（个人姓名或企业名称+税号），原发票作废后重新开具。增值税专用发票如需冲红重开，需提供《红字信息表》，一般 5-7 个工作日完成。请联系在线客服办理。
支付发票,可以开个人发票吗？,可以。电子普通发票支持开个人抬头，只需填写个人姓名即可（无需税号）。如需开企业发票，请提供企业名称和税号。增值税专用发票仅支持企业开具，不支持个人。
产品使用,怎么查询产品真伪？,"三种方式：1）扫描包装盒上的防伪二维码，进入官方验证页；2）在产品包装盒/机身找到 16 位防伪码，登录官网""防伪查询""输入；3）拨打 400 热线，人工核对 IMEI/序列号。每个防伪码仅可查询一次，多次查询会提示""已被查询""。"
产品使用,产品兼容哪些设备？,通用兼容性：充电器/充电宝——兼容所有 USB-C / Lightning 接口设备；耳机——蓝牙 5.0 及以上，兼容 iOS / Android / Windows / macOS；扩展坞——支持带 USB-C 全功能口的笔记本。具体兼容性请参考商品详情页或咨询客服。
产品使用,充电器和数据线是原装的吗？,我们在售的充电器、数据线均为 NovaTech 官方原装，通过 3C 认证，支持原装快充协议。包装上有防伪标识，可扫码验证。第三方配件我们会在详情页明确标注。
产品使用,怎么联系人工客服？,"三种方式：在线客服——APP / 官网右下角""在线客服""，输入""人工""转接；客服热线 400-888-8888（9:00-21:00）；邮件 support@novatech.example，24 小时内回复。紧急故障（如电池鼓包、发热冒烟）请立即断电并拨打热线。"
产品使用,新机第一次充电要充多久？,现在的锂电池无需首次长时间充电。建议：1）新机到手电量一般在 50% 左右，正常使用至 20% 以下再充；2）使用原装充电器充满后多充 15-30 分钟即可；3）避免整夜充电或用到自动关机；4）建议 20%-80% 之间随用随充，有利于电池寿命。新机前 3 次充电无需特别激活。
产品使用,新机激活后发现有问题怎么办？,激活后发现质量问题（非人为），不影响 7 天退、15 天换的权益：1）7 天内出现性能故障，可退可换，需经官方售后检测出具报告；2）15 天内出现性能故障，可换货；3）超过 15 天进入保修期，免费维修。请保留好包装和配件，联系在线客服安排检测。
产品使用,怎么查询订单物流？,"三种方式：1）APP/官网""我的订单""——找到对应订单点击""查看物流""，可看到实时轨迹；2）关注短信——发货后会收到含运单号的短信；3）联系客服——提供订单号，客服帮您查询。物流异常（超 48h 未更新、显示签收未收到）请及时联系我们。"
产品使用,会员有什么权益？,NovaTech 会员分普通/银卡/金卡三级：普通会员——积分抵现、生日礼包；银卡（年消费满 2000）——95 折券、免运费、优先客服；金卡（年消费满 6000）——9 折券、免费延保半年、新品优先购、专属客服、以旧换新额外补贴 5%。会员权益自动累计，无需手动开通。
